,序号,一级流程,二级流程,三级流程,处罚企业名称,处罚企业简称,处罚决定书文号（如适用）,事件描述,相关法规（如适用）,处罚措施（如适用）,处罚金额（万元）（如适用）,处罚机关（如适用）,处罚地域,处罚日期（如适用）,事件发生日期,事件类型,事件信息源,是否影响业务范围,事件内控类型（如适用）,损失事件类型,事件损失等级,事件损失等级得分,维护日期,维护人,备注
859,150,交易管理,网络支付管理,交易结算,中国民生银行股份有限公司济南分行,,济银罚字〔2019〕第10号,办理国库集中支付业务占压财政存款或资金,,给予警告，并处50000元罚款,5,中国人民银行济南分行,,2019-08-22,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
860,151,交易管理,网络支付管理,交易结算,中信银行股份有限公司威海分行,,威银罚字〔2017〕第5号,违反支付结算业务规定,,警告，罚没180481.02元,18,中国人民银行威海市中心支行,,2017-09-18,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
861,152,交易管理,网络支付管理,交易结算,中国银行股份有限公司东营分行,,（东银）罚字〔2019〕第2号,违反支付结算业务规定,,警告，并罚款人民币贰拾叁万元,23,中国人民银行东营市中心支行,,2019-08-15,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
862,153,交易管理,银行卡收单管理,交易结算,山东省电子商务综合运营管理有限公司,,济银罚字〔2019〕第18号,违反银行卡收单规定,,警告，并处罚款342000元,34.2,中国人民银行济南分行,,2019-11-07,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
863,153,交易管理,网络支付管理,交易结算,山东省电子商务综合运营管理有限公司,,济银罚字〔2019〕第18号,违反网络支付业务管理规定,,警告，并处罚款342000元,34.2,中国人民银行济南分行,,2019-11-07,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
864,154,运营支持,合规风险管理,监管报送及披露,中国建设银行股份有限公司菏泽分行,,菏银罚字〔2016〕1号,未按照规定向中国人民银行报送账户开立、变更、撤销等资料；,,给予警告，并罚款24.3万元,24.3,中国人民银行菏泽市中心支行,,2016-04-07,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
865,154,运营支持,客户权益保护,客户隐私保护,中国建设银行股份有限公司菏泽分行,,菏银罚字〔2016〕1号,越权查询个人信用数据库；,,给予警告，并罚款24.3万元,24.3,中国人民银行菏泽市中心支行,,2016-04-07,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
866,154,客户管理,商户管理,商户资质审核及信息更新,中国建设银行股份有限公司菏泽分行,,菏银罚字〔2016〕1号,未按照规定履行客户身份识别的义务；,,给予警告，并罚款24.3万元,24.3,中国人民银行菏泽市中心支行,,2016-04-07,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
867,154,客户管理,商户管理,信息、交易记录、操作记录留存,中国建设银行股份有限公司菏泽分行,,菏银罚字〔2016〕1号,未按规定保存客户身份资料和交易记录,,给予警告，并罚款24.3万元,24.3,中国人民银行菏泽市中心支行,,2016-04-07,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
868,155,客户管理,商户管理,信息、交易记录、操作记录留存,山东鲁商一卡通支付有限公司,,济银罚字〔2016〕第1号,未按照规定履行客户身份识别义务和保存客户身份资料,,罚款30万元,30,中国人民银行济南分行,,2016-01-20,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
869,156,交易管理,网络支付管理,交易结算,广发银行济南分行,,济银罚字〔2018〕第16号,违反支付结算业务规定,,警告，罚款8万元,8,中国人民银行济南分行,,2018-07-25,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
870,157,交易管理,网络支付管理,交易结算,中国银行股份有限公司日照分行,,（日银）罚字〔2019〕第4号,违反支付结算业务规定,,对单位处以警告并罚款60000元。,6,中国人民银行日照市中心支行,,2019-08-26,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
871,158,交易管理,银行卡收单管理,交易结算,卡友支付服务有限公司山东分公司,,济银部罚字〔2017〕第7号,违反银行卡收单业务管理相关规定。,,合计罚没471422.86元,47.14,中国人民银行济南分行营业管理部,,2017-04-27,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
872,159,交易管理,银行卡收单管理,交易结算,焦冰,,济银部罚字〔2017〕第8号,违反银行卡收单业务管理相关规定。,,警告，并处5万元罚款,5,中国人民银行济南分行营业管理部,,2017-04-27,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
873,160,交易管理,银行卡收单管理,交易结算,易通支付有限公司,,济银部罚字〔2017〕第9号,违反银行卡收单业务管理相关规定。,,警告,0,中国人民银行济南分行营业管理部,,2017-04-27,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,很小(1),1.0,,,
874,161,交易管理,银行卡收单管理,交易结算,中国邮政储蓄银行济南市分行,,济银部罚字〔2017〕第10号,违反银行卡收单业务管理相关规定。,,警告,0,中国人民银行济南分行营业管理部,,2017-04-27,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,很小(1),1.0,,,
875,162,交易管理,网络支付管理,交易结算,乐刷科技有限公司济南分公司,,济银罚字〔2017〕第6号,违反支付结算业务规定,,罚没352498.66元,35.2,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
876,163,交易管理,网络支付管理,交易结算,金运通网络支付股份有限公司,,济银罚字〔2016〕第3号,违反支付结算业务规定,,罚款3万元,3,中国人民银行济南分行,,2016-06-01,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
877,164,交易管理,网络支付管理,交易结算,山东高速信联支付有限公司,,济银罚字〔2018〕第3号,违反支付结算业务规定,,警告，罚款7万元,7,中国人民银行济南分行,,2018-02-23,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
878,165,交易管理,银行卡收单管理,交易结算,嘉联支付有限公司山东分公司,,济银罚字〔2020〕第18号,违反银行卡收单业务相关法律规定,,给予警告，并处240000元罚款,24,中国人民银行济南分行,,2020-09-28,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
879,166,交易管理,银行卡收单管理,交易结算,重庆市钱宝科技服务有限公司山东分公司,,济银罚字〔2020〕第19号,违反银行卡收单业务相关法律规定,,给予警告，并处620000元罚款,62,中国人民银行济南分行,,2020-09-28,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
880,167,交易管理,网络支付管理,交易结算,易通金服支付有限公司,,济银罚字〔2020〕第20号,违反银行卡收单、网络支付业务相关法律规定,,给予警告，没收违法所得33503.04元，并处1856006.20元罚款，合计罚没1889509.24元,188.9,中国人民银行济南分行,,2020-09-28,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
881,168,交易管理,银行卡收单管理,交易结算,李群（时任易通金服支付有限公司支付事业部总经理、支付事业部副总经理）,,济银罚字〔2020〕第21号,对易通金服支付有限公司违反银行卡收单业务相关法律规定的违法违规行为负有责任,,给予警告，并处50000元罚款,5,中国人民银行济南分行,,2020-09-28,,个人事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
882,169,交易管理,银行卡收单管理,交易结算,深圳瑞银信信息技术有限公司山东分公司,,济银罚字〔2020〕第22号,违反银行卡收单业务相关法律规定,,处30000元罚款,3,中国人民银行济南分行,,2020-09-28,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
883,170,交易管理,银行卡收单管理,交易结算,北京海科融通支付服务股份有限公司山东分公司,,济银罚字〔2020〕第23号,违反银行卡收单业务相关法律规定,,处50000元罚款,5,中国人民银行济南分行,,2020-09-28,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
884,171,交易管理,银行卡收单管理,交易结算,拉卡拉支付股份有限公司山东分公司,,济银罚字〔2020〕第24号,违反银行卡收单业务相关法律规定,,处40000元罚款,4,中国人民银行济南分行,,2020-09-28,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
885,172,交易管理,网络支付管理,交易结算,福建国通星驿网络科技有限公司山东分公司,,济银罚字〔2017〕第4号,违反支付结算业务规定,,罚款3万元,3,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
886,173,交易管理,网络支付管理,交易结算,恒丰银行,,济银罚字〔2017〕第2号,违反支付结算业务规定,,警告，罚没94.01万元,94.01,中国人民银行济南分行,,2017-05-03,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
887,174,交易管理,网络支付管理,交易结算,兴业银行股份有限公司威海分行,,威银罚字〔2017〕第2号,违反支付结算业务规定,,警告，罚没131547.32元,13.15,中国人民银行威海市中心支行,,2017-08-15,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
888,175,交易管理,网络支付管理,交易结算,上海浦东发展银行股份有限公司威海分行,,威银罚字〔2017〕第3号,违反支付结算业务规定,,警告，罚没73392.52元,7.33,中国人民银行威海市中心支行,,2017-08-16,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
889,176,交易管理,网络支付管理,交易结算,山东威海农村商业银行股份有限公司,,威银罚字〔2017〕第4号,违反支付结算业务规定,,警告，罚没45279.84元,4.5,中国人民银行威海市中心支行,,2017-08-15,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
890,177,交易管理,网络支付管理,交易结算,邮储银行东营市分行,,东银罚字〔2016〕第1号,违反支付结算规定,,罚款1万元,1,中国人民银行东营市中心支行,,2016-12-20,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
891,178,运营支持,合规风险管理,监管报送及披露,山东曲阜农村商业银行股份有限公司,,济宁银罚字〔2020〕1号,2.开立单位银行结算账户超过规定期限、未按规定向中国人民银行结算账户管理系统备案；,,警告，并处罚款73.9万元,73.9,中国人民银行济宁市中心支行,,2020-12-22,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
892,179,运营支持,财务流程管理,备付金管理,金运通网络支付股份有限公司,,济银罚字〔2018〕第20号,违反客户备付金管理规定,,给予警告，并处91万元罚款,91,中国人民银行济南分行,,2018-12-07,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
893,179,客户管理,商户管理,商户资质审核及信息更新,金运通网络支付股份有限公司,,济银罚字〔2018〕第20号,违反特约商户管理规定,,给予警告，并处91万元罚款,91,中国人民银行济南分行,,2018-12-07,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
894,179,交易管理,网络支付管理,交易结算,金运通网络支付股份有限公司,,济银罚字〔2018〕第20号,违反网络支付业务处理管理规定,,给予警告，并处91万元罚款,91,中国人民银行济南分行,,2018-12-07,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
895,180,交易管理,网络支付管理,交易结算,王巍成（时任金运通网络支付股份有限公司总经理及市场部和渠道合作部负责人）,,济银罚字〔2018〕第21号,对金运通网络支付股份有限公司以下违法违规行为负有责任：违反网络支付业务处理管理规定,,给予警告，并处5万元罚款,5,中国人民银行济南分行,,2018-12-07,,个人事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
896,182,交易管理,网络支付管理,交易结算,兴业银行济南分行,,济银罚字〔2016〕第5号,违反支付结算业务规定,,警告，并处罚款3万元。,3,中国人民银行济南分行,,2016-12-05,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
897,183,运营支持,合规风险管理,监管报送及披露,中国农业银行股份有限公司菏泽分行,,菏银罚字〔2019〕15号、25号、26号,3.未按照规定报送账户开立、撤销等资料；,,给予警告，处20.1万元罚款，对相关责任人分别处以5000元罚款。,20.1,中国人民银行菏泽市中心支行,,2019-12-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
898,183,客户管理,商户管理,商户资质审核及信息更新,中国农业银行股份有限公司菏泽分行,,菏银罚字〔2019〕15号、25号、26号,4.未按规定履行客户身份识别义务。,,给予警告，处20.1万元罚款，对相关责任人分别处以5000元罚款。,20.1,中国人民银行菏泽市中心支行,,2019-12-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
899,184,运营支持,合规风险管理,监管报送及披露,中国农业银行股份有限公司巨野县支行,,菏银罚字〔2019〕20号,1.对外支付不宜流通人民币；2.未按照规定报送账户开立、撤销等资料。,,给予警告，处0.6万元罚款,0.6,中国人民银行菏泽市中心支行,,2019-12-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
900,185,运营支持,合规风险管理,监管报送及披露,中国农业银行股份有限公郓城县支行,,菏银罚字〔2019〕21号,1.对外支付不宜流通人民币；2.未按照规定报送账户开立、撤销等资料。,,给予警告，处0.8万元罚款,0.8,中国人民银行菏泽市中心支行,,2019-12-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
901,186,运营支持,合规风险管理,监管报送及披露,菏泽农村商业银行股份有限公司,,菏银罚字〔2019〕24号,4.未按照规定报送账户开立、撤销等资料。,,给予警告，处19万元罚款,19,中国人民银行菏泽市中心支行,,2019-12-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
902,187,交易管理,网络支付管理,交易结算,浦发银行济南分行,,济银罚字〔2018〕第2号,违反支付结算业务规定,,警告，罚没36.52万元,36.52,中国人民银行济南分行,,2018-02-23,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
903,188,交易管理,网络支付管理,交易结算,随行付支付有限公司山东分公司,,济银罚字〔2017〕第9号,违反支付结算业务规定,,罚款6万元,6,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
904,189,交易管理,网络支付管理,交易结算,山东运达电子商务有限公司,,济银罚字〔2016〕第6号,违反非金融机构支付服务管理、相关规定,,警告，合计罚没615701.49元。,61.57,中国人民银行济南分行,,2016-12-09,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
905,189,交易管理,银行卡收单管理,交易结算,山东运达电子商务有限公司,,济银罚字〔2016〕第6号,违反银行卡收单业务管理相关规定,,警告，合计罚没615701.49元。,61.57,中国人民银行济南分行,,2016-12-09,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
906,189,运营支持,财务流程管理,备付金管理,山东运达电子商务有限公司,,济银罚字〔2016〕第6号,违反支付机构客户备付金管理相关规定,,警告，合计罚没615701.49元。,61.57,中国人民银行济南分行,,2016-12-09,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
907,190,交易管理,网络支付管理,交易结算,金运通网络支付股份有限公司,,济银罚字〔2017〕第3号,违反支付结算业务规定,,罚款20万元,20,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
908,192,交易管理,网络支付管理,交易监控,山东东阿农村商业银行股份有限公司,,聊银罚字〔2021〕第1号,1.未按照规定报送大额交易报告或者可疑交易报告；,,警告，并处33.3万元罚款,33.3,中国人民银行聊城市中心支行,,2021-01-04,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
909,192,运营支持,合规风险管理,监管报送及披露,山东东阿农村商业银行股份有限公司,,聊银罚字〔2021〕第1号,3.银行结算账户超期备案；,,警告，并处33.3万元罚款,33.3,中国人民银行聊城市中心支行,,2021-01-04,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
910,193,交易管理,网络支付管理,交易结算,易通金服支付有限公司,,济银罚字〔2018〕第15号,违反支付结算业务规定,,警告，罚没1898640.80元,189.86,中国人民银行济南分行,,2018-07-25,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
911,195,运营支持,合规风险管理,监管报送及披露,山东滕州农村商业银行股份有限公司,,（枣银）罚字〔2021〕第1号,1.未按规定对银行结算账户进行备案,,警告，并处罚款14.6万元,14.6,中国人民银行枣庄市中心支行,,2021-01-06,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
912,195,交易管理,网络支付管理,交易结算,山东滕州农村商业银行股份有限公司,,（枣银）罚字〔2021〕第1号,4.国库集中支付业务占压财政存款或资金,,警告，并处罚款14.6万元,14.6,中国人民银行枣庄市中心支行,,2021-01-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
913,196,运营支持,合规风险管理,监管报送及披露,上海华势信息科技有限公司山东分公司,,济银罚字〔2016〕第2号,未按规定建立有关制度办法或风险管理措施；,,给予警告并处15万元罚款,15,中国人民银行济南分行,,2016-03-11,,企业事件,监管,否,设计层面,客户、产品和业务活动事件,重要(3),3.0,,,
914,196,客户管理,服务商管理,服务商信息存档,上海华势信息科技有限公司山东分公司,,济银罚字〔2016〕第2号,未按规定保管相关资料；,,给予警告并处15万元罚款,15,中国人民银行济南分行,,2016-03-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
915,196,客户管理,商户管理,手续费管理,上海华势信息科技有限公司山东分公司,,济银罚字〔2016〕第2号,未按规定收取特约商户结算手续费；,,给予警告并处15万元罚款,15,中国人民银行济南分行,,2016-03-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
916,196,客户管理,商户管理,信息、交易记录、操作记录留存,上海华势信息科技有限公司山东分公司,,济银罚字〔2016〕第2号,提供虚假商户档案资料等。,,给予警告并处15万元罚款,15,中国人民银行济南分行,,2016-03-11,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
917,197,交易管理,网络支付管理,交易结算,中国银行股份有限公司潍坊分行,,（潍银）罚字〔2019〕第2号,违反支付结算业务规定,,警告，并罚款80000元,8,中国人民银行潍坊市中心支行,,2019-08-23,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
918,198,运营支持,合规风险管理,监管报送及披露,山东定陶农村商业银行股份有限公司,,菏银罚字〔2018〕2号,未按照规定向中国人民银行报送账户开立、变更、撤销等资料违反规定对外支付不宜流通人民币行为非税收收入未通过“待结算财政款项”科目核算集中支付存在占压零余额贷方金额的行为,,警告，并处罚款9.3万元,9.3,中国人民银行菏泽市中心支行,,2018-10-18,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
919,199,客户管理,商户管理,商户资质审核及信息更新,金运通网络支付股份有限公司,,济银罚字〔2019〕第29号,1.未按规定履行客户身份识别义务；,,罚款1330000元,133,中国人民银行济南分行,,2019-12-20,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
920,199,交易管理,网络支付管理,交易监控,金运通网络支付股份有限公司,,济银罚字〔2019〕第29号,2.未按规定报送可疑交易报告。,,罚款1330000元,133,中国人民银行济南分行,,2019-12-20,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
921,200,客户管理,商户管理,商户资质审核及信息更新,王树斌（时任金运通网络支付股份有限公司董事长）,,济银罚字〔2019〕第30号,对金运通网络支付股份有限公司以下违法违规行为负有责任：1.未按规定履行客户身份识别义务；2.未按规定报送可疑交易报告。,,罚款60000元,6,中国人民银行济南分行,,2019-12-20,,个人事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
922,201,客户管理,商户管理,商户资质审核及信息更新,易通金服支付有限公司,,济银罚字〔2019〕第31号,1.未按规定履行客户身份识别义务；,,罚款2780000元,278,中国人民银行济南分行,,2019-12-20,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
923,201,客户管理,商户管理,账户开立与账户管理,易通金服支付有限公司,,济银罚字〔2019〕第31号,2.为客户开立匿名、假名账户。,,罚款2780000元,278,中国人民银行济南分行,,2019-12-20,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
924,202,客户管理,商户管理,商户资质审核及信息更新,李群（时任易通金服支付有限公司支付事业部总经理）,,济银罚字〔2019〕第32号,对易通金服支付有限公司以下违法违规行为负有责任：未按照规定履行客户身份识别义务。,,罚款22000元,2.2,中国人民银行济南分行,,2019-12-20,,个人事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
925,203,客户管理,商户管理,商户资质审核及信息更新,陈虎（时任易通金服支付有限公司支付事业部总经理）,,济银罚字〔2019〕第33号,对易通金服支付有限公司以下违法违规行为负有责任：1.未按规定履行客户身份识别义务；2.为客户开立匿名、假名账户。,,罚款85000元,8.5,中国人民银行济南分行,,2019-12-20,,个人事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
926,204,客户管理,商户管理,商户资质审核及信息更新,魏振东（时任易通金服支付有限公司预付卡事业部总经理）,,济银罚字〔2019〕第34号,对易通金服支付有限公司以下违法违规行为负有责任：未按规定履行客户身份识别义务。,,罚款50000元,5,中国人民银行济南分行,,2019-12-20,,个人事件,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
927,206,客户管理,商户管理,商户资质审核及信息更新,中国银行股份有限公司济南分行,,济银部罚字〔2020〕第2号,4.未按规定履行客户身份识别义务；,,给予警告，并处75.5万元罚款,75.5,中国人民银行济南分行营业管理部,,2020-07-17,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
928,206,运营支持,合规风险管理,监管报送及披露,中国银行股份有限公司济南分行,,济银部罚字〔2020〕第2号,5.超过期限或未向中国人民银行报送银行结算账户开立、撤销资料。,,给予警告，并处75.5万元罚款,75.5,中国人民银行济南分行营业管理部,,2020-07-17,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,严重(4),4.0,,,
929,207,运营支持,合规风险管理,监管报送及披露,日照银行股份有限公司莒县支行,,莒银罚字〔2019〕第1号,1.对外支付不易流通残损人民币；2.银行结算账户超期备案；,,警告，并处0.6万元罚款,0.6,中国人民银行莒县支行,,2019-12-30,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
930,208,交易管理,网络支付管理,交易结算,深圳瑞银信信息技术有限公司东营分公司,,（东银）罚字〔2017〕第7号,违反支付结算业务规定,,罚款30000元,3,中国人民银行东营市中心支行,,2018-02-22,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
931,209,交易管理,网络支付管理,交易结算,北京海科融通支付服务股份有限公司山东分公司,,济银罚字〔2017〕第5号,违反支付结算业务规定,,罚款3万元,3,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
932,210,交易管理,网络支付管理,交易结算,华夏银行济南分行,,济银罚字〔2018〕第1号,违反支付结算业务规定,,警告，罚没6.98万元,6.98,中国人民银行济南分行,,2018-02-23,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
933,211,交易管理,网络支付管理,交易结算,付临门支付有限公司山东分公司,,济银罚字〔2017〕第7号,违反支付结算业务规定,,罚没635370.12元,63.53,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
934,212,交易管理,网络支付管理,交易结算,中汇电子支付有限公司山东分公司,,济银罚字〔2017〕第8号,违反支付结算业务规定,,罚没515817.58元,51.58,中国人民银行济南分行,,2017-11-14,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
935,213,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司,,威银罚字〔2018〕第3号,违反支付结算业务规定,,"警告，罚没477,232.86元",47.72,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
936,214,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司葛家支行,,威银罚字〔2018〕第4号,违反支付结算业务规定,,"警告，罚款15,000.00元",1.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
937,215,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司文城支行,,威银罚字〔2018〕第5号,违反支付结算业务规定,,"警告，罚款10,000.00元",1,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
938,216,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司义乌支行,,威银罚字〔2018〕第6号,违反支付结算业务规定,,"警告，罚款15,000.00元",1.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
939,217,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司宋村支行,,威银罚字〔2018〕第7号,违反支付结算业务规定,,"警告，罚款10,000.00元",1,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
940,218,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司小观支行,,威银罚字〔2018〕第8号,违反支付结算业务规定,,"警告，罚款5,000.00元",0.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
941,219,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司大水泊支行,,威银罚字〔2018〕第9号,违反支付结算业务规定,,"警告，罚款15,000.00元",1.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
942,220,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司泽头支行,,威银罚字〔2018〕第10号,违反支付结算业务规定,,"警告，罚款15,000.00元",1.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
943,221,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司七里支行,,威银罚字〔2018〕第11号,违反支付结算业务规定,,"警告，罚款10,000.00元",1,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
944,222,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司南海支行,,威银罚字〔2018〕第12号,违反支付结算业务规定,,"警告，罚款5,000.00元",0.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
945,223,交易管理,网络支付管理,交易结算,山东文登农村商业银行股份有限公司河南支行,,威银罚字〔2018〕第13号,违反支付结算业务规定,,"警告，罚款5,000.00元",0.5,中国人民银行威海市中心支行,,2018-12-06,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
946,224,交易管理,网络支付管理,交易结算,渤海银行济南分行,,济银罚字〔2016〕第4号,违反支付结算业务规定,,警告，没收违法所得5.4万元，并处罚款9.4万元。,94,中国人民银行济南分行,,2016-10-25,,企业事件,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
947,225,客户管理,商户管理,账户开立与账户管理,中国建设银行股份有限公司山东省分行,,济银罚字〔2019〕第3号,违反人民币银行结算账户业务、条码支付业务管理规定,,警告，没收违法所得92789.63元，并处罚款3265000元，合计罚没3357789.63元,335.77,中国人民银行济南分行,,2019-08-22,,企业事件,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
